1, 2, 9, 9, 9, 840
4, 5, 10, 10, 10, 2828280
1, 1, 1, 2, 3, 90
1, 7, 8, 9, 10, 5040
3, 4, 5, 5, 10, 1675800
1, 1, 1, 1, 2, 10
4, 6, 9, 9, 9, 2828280
7, 7, 8, 8, 8, 26041800
3, 3, 4, 9, 10, 1159920
1, 6, 6, 7, 10, 2520
1, 1, 1, 3, 7, 90
2, 3, 5, 6, 6, 158760
4, 5, 6, 7, 10, 16969680
4, 5, 5, 6, 6, 4242420
5, 8, 10, 10, 10, 9684360
1, 3, 9, 9, 9, 840
4, 7, 9, 10, 10, 8484840
1, 3, 5, 5, 7, 2520
2, 4, 5, 8, 10, 317520
5, 5, 6, 6, 10, 11904840
1, 4, 6, 7, 7, 2520
2, 2, 2, 5, 7, 19710
2, 6, 7, 8, 8, 158760
1, 1, 6, 8, 10, 720
2, 2, 2, 10, 10, 9855
2, 4, 4, 5, 8, 158760
1, 1, 2, 5, 7, 720
2, 2, 3, 3, 8, 43200
7, 8, 10, 10, 10, 59634120
9, 10, 10, 10, 10, 56552370
8, 9, 9, 9, 9, 30343950
1, 3, 3, 6, 10, 2520
4, 4, 7, 10, 10, 3273840
2, 2, 2, 9, 10, 19710
5, 6, 8, 8, 10, 29053080
2, 2, 4, 8, 10, 86400
1, 4, 6, 10, 10, 2520
1, 2, 5, 5, 10, 2520
2, 2, 3, 4, 4, 43200
1, 5, 9, 9, 10, 2520
2, 4, 5, 7, 8, 317520
3, 3, 3, 5, 9, 314010
3, 4, 4, 6, 7, 1675800
2, 2, 2, 2, 8, 3820
5, 5, 6, 7, 8, 23809680
4, 6, 8, 9, 10, 16969680
2, 6, 7, 7, 7, 52920
5, 7, 9, 10, 10, 29053080
2, 3, 5, 5, 6, 158760
1, 1, 6, 7, 7, 360
5, 6, 8, 10, 10, 29053080
5, 6, 6, 8, 9, 29053080
1, 3, 5, 5, 8, 2520
4, 4, 4, 4, 7, 434440
3, 5, 5, 5, 9, 558600
2, 4, 4, 10, 10, 79380
1, 6, 7, 10, 10, 2520
1, 3, 3, 5, 9, 2520
2, 2, 4, 6, 10, 86400
3, 3, 9, 10, 10, 579960
3, 3, 7, 9, 10, 1159920
5, 5, 5, 7, 10, 7139610
2, 2, 3, 6, 8, 86400
1, 2, 3, 4, 6, 5040
1, 3, 6, 6, 8, 2520
1, 1, 8, 10, 10, 360
1, 4, 4, 7, 8, 2520
1, 8, 8, 8, 9, 840
4, 4, 5, 5, 10, 3273840
1, 6, 6, 6, 10, 840
1, 3, 4, 7, 7, 2520
1, 3, 4, 7, 10, 5040
5, 7, 7, 8, 8, 14526540
2, 8, 9, 9, 10, 158760
2, 2, 5, 7, 9, 86400
2, 5, 5, 5, 8, 52920
3, 6, 6, 7, 8, 1675800
5, 5, 6, 7, 10, 23809680
4, 5, 7, 7, 7, 2828280
3, 3, 7, 7, 10, 579960
2, 6, 7, 7, 8, 158760
2, 3, 7, 8, 9, 317520
5, 6, 9, 10, 10, 29053080
2, 3, 5, 8, 10, 317520
3, 5, 7, 7, 7, 558600
1, 3, 3, 5, 6, 2520
3, 4, 4, 5, 7, 1675800
7, 8, 9, 9, 9, 59634120
1, 3, 6, 7, 10, 5040
4, 5, 5, 10, 10, 4242420
2, 4, 5, 6, 7, 317520
3, 4, 5, 5, 7, 1675800
3, 3, 4, 4, 9, 579960
2, 2, 7, 7, 10, 43200
5, 7, 10, 10, 10, 9684360
5, 7, 7, 7, 10, 9684360
2, 3, 4, 4, 10, 158760
4, 4, 8, 8, 8, 1091280
1, 4, 7, 9, 10, 5040
2, 3, 4, 9, 9, 158760
2, 2, 2, 3, 8, 19710
1, 1, 4, 8, 10, 720
3, 5, 7, 10, 10, 1675800
6, 6, 9, 9, 10, 33276960
3, 4, 5, 6, 6, 1675800
1, 1, 2, 4, 9, 720
1, 1, 4, 4, 6, 360
2, 7, 8, 10, 10, 158760
1, 5, 6, 9, 9, 2520
2, 3, 6, 7, 7, 158760
2, 3, 10, 10, 10, 52920
1, 1, 5, 8, 9, 720
2, 2, 4, 7, 10, 86400
3, 6, 7, 7, 7, 558600
2, 3, 5, 6, 9, 317520
5, 5, 5, 6, 10, 7139610
2, 2, 3, 5, 8, 86400
5, 5, 5, 8, 8, 3569805
5, 6, 7, 7, 9, 29053080
2, 3, 6, 8, 9, 317520
1, 1, 5, 9, 9, 360
1, 3, 4, 6, 8, 5040
3, 3, 6, 10, 10, 579960
2, 6, 8, 9, 10, 317520
1, 4, 4, 6, 8, 2520
1, 2, 5, 8, 9, 5040
1, 1, 1, 1, 3, 10
3, 7, 7, 7, 9, 558600
2, 5, 7, 9, 9, 158760
1, 5, 6, 7, 7, 2520
3, 3, 8, 8, 8, 193320
1, 1, 2, 5, 8, 720
4, 7, 10, 10, 10, 2828280
3, 6, 6, 6, 8, 558600
4, 5, 6, 8, 9, 16969680
3, 3, 3, 4, 10, 314010
1, 3, 3, 6, 7, 2520
8, 8, 9, 10, 10, 162023760
1, 1, 1, 5, 10, 90
7, 9, 9, 9, 10, 59634120
1, 2, 3, 3, 6, 2520
2, 2, 3, 4, 9, 86400
3, 4, 5, 5, 6, 1675800
3, 6, 9, 9, 10, 1675800
3, 6, 8, 10, 10, 1675800
6, 6, 8, 9, 9, 33276960
1, 1, 5, 8, 8, 360
1, 4, 4, 4, 4, 210
1, 1, 6, 6, 8, 360
1, 3, 6, 9, 9, 2520
2, 2, 5, 6, 7, 86400
4, 7, 7, 8, 8, 4242420
2, 3, 7, 7, 8, 158760
1, 4, 4, 9, 10, 2520
5, 5, 7, 9, 9, 11904840
6, 6, 7, 10, 10, 33276960
2, 2, 7, 8, 8, 43200
1, 5, 6, 8, 10, 5040
1, 2, 8, 8, 10, 2520
2, 4, 9, 9, 10, 158760
3, 3, 5, 6, 9, 1159920
4, 6, 6, 6, 8, 2828280
1, 2, 5, 7, 7, 2520
4, 8, 10, 10, 10, 2828280
4, 4, 5, 9, 10, 6547680
1, 2, 6, 10, 10, 2520
3, 5, 6, 9, 10, 3351600
1, 2, 6, 7, 9, 5040
4, 5, 7, 10, 10, 8484840
1, 3, 6, 6, 6, 840
1, 6, 6, 6, 7, 840
4, 5, 8, 8, 8, 2828280
2, 3, 5, 9, 9, 158760
5, 5, 7, 8, 8, 11904840
1, 1, 7, 9, 9, 360
2, 3, 4, 5, 7, 317520
3, 3, 3, 5, 5, 157005
5, 5, 6, 7, 7, 11904840
3, 4, 5, 8, 9, 3351600
2, 3, 4, 4, 8, 158760
1, 1, 3, 4, 4, 360
1, 1, 5, 7, 10, 720
1, 2, 7, 8, 9, 5040
3, 7, 8, 10, 10, 1675800
5, 9, 9, 9, 9, 2421090
8, 8, 8, 8, 10, 24508480
5, 6, 7, 8, 8, 29053080
1, 2, 2, 3, 3, 1260
7, 8, 8, 9, 10, 178902360
1, 1, 2, 6, 8, 720
2, 2, 5, 9, 9, 43200
3, 3, 4, 6, 9, 1159920
3, 7, 7, 9, 10, 1675800
3, 5, 5, 6, 8, 1675800
2, 3, 3, 4, 7, 158760
2, 5, 5, 8, 9, 158760
2, 4, 6, 7, 10, 317520
2, 2, 6, 6, 7, 43200
1, 4, 7, 7, 8, 2520
1, 2, 3, 4, 10, 5040
1, 4, 8, 8, 10, 2520
4, 4, 4, 6, 8, 1896030
2, 6, 7, 9, 10, 317520
2, 3, 4, 4, 7, 158760
1, 2, 2, 3, 8, 2520
3, 9, 9, 9, 9, 139650
1, 3, 4, 9, 9, 2520
4, 4, 5, 5, 6, 3273840
3, 5, 6, 6, 8, 1675800
1, 7, 7, 9, 9, 1260
1, 2, 9, 10, 10, 2520
5, 5, 5, 5, 7, 1672690
2, 3, 7, 8, 8, 158760
1, 1, 2, 4, 4, 360
3, 4, 7, 7, 9, 1675800
1, 1, 3, 3, 5, 360
2, 2, 5, 8, 8, 43200
1, 5, 6, 9, 10, 5040
5, 5, 7, 7, 9, 11904840
4, 5, 6, 10, 10, 8484840
1, 5, 6, 7, 8, 5040
2, 2, 4, 7, 7, 43200
4, 6, 6, 7, 8, 8484840
3, 5, 5, 9, 10, 1675800
2, 3, 3, 3, 4, 52920
2, 2, 3, 5, 7, 86400
